title,type,genres,year,Genres1,Genres2,Genres3
Snow 2: Brain Freeze,movie,"[""Family"",""Fantasy""]",2008,Family,Fantasy,
Old Partner,movie,"[""Documentary""]",2008,Documentary,,
The Revenant,movie,"[""Comedy"",""Horror""]",2009,Comedy,Horror,
Beeswax,movie,"[""Comedy"",""Drama""]",2009,Comedy,Drama,
Beetle Queen Conquers Tokyo,movie,"[""Documentary""]",2009,Documentary,,
The Inheritance,movie,"[""Thriller""]",2011,Thriller,,
The Girl Who Kicked the Hornets' Nest,movie,"[""Crime"",""Drama"",""Thriller""]",2009,Crime,Drama,Thriller
Dredd,movie,"[""Action"",""Sci-Fi""]",2012,Action,Sci-Fi,
Brothers on the Line,movie,"[""Documentary""]",2012,Documentary,,
The Dark Knight Rises,movie,"[""Action"",""Thriller""]",2012,Action,Thriller,
Loving Leah,movie,"[""Drama"",""Romance""]",2009,Drama,Romance,
I Saw the Sun,movie,"[""Drama""]",2009,Drama,,
O'er the Land,movie,"[""Drama""]",2009,Drama,,
Pyaar Impossible!,movie,"[""Comedy"",""Romance""]",2010,Comedy,Romance,
The Man Who Will Come,movie,"[""Drama"",""War""]",2009,Drama,War,
Chloe,movie,"[""Drama"",""Mystery"",""Thriller""]",2009,Drama,Mystery,Thriller
The Unbeatable,movie,"[""Action""]",2009,Action,,
Paper Birds,movie,"[""Comedy"",""Drama""]",2010,Comedy,Drama,
About Elly,movie,"[""Drama"",""Mystery""]",2009,Drama,Mystery,
Giant,movie,"[""Drama""]",2009,Drama,,
Letters to Father Jacob,movie,"[""Drama""]",2009,Drama,,
Film Is a Girl & a Gun,movie,"[""Documentary"",""History"",""Romance""]",2009,Documentary,History,Romance
We Believed,movie,"[""History""]",2010,History,,
Same Same But Different,movie,"[""Drama""]",2009,Drama,,
Made in Dagenham,movie,"[""Biography"",""Comedy"",""Drama""]",2010,Biography,Comedy,Drama
Lo spazio bianco,movie,"[""Drama""]",2009,Drama,,
Year of the Carnivore,movie,"[""Comedy"",""Drama""]",2009,Comedy,Drama,
Gunless,movie,"[""Action"",""Comedy"",""Drama""]",2010,Action,Comedy,Drama
The Disappearance of Alice Creed,movie,"[""Crime"",""Thriller""]",2009,Crime,Thriller,
Naan Kadavul,movie,"[""Action"",""Drama""]",2009,Action,Drama,
Bad Family,movie,"[""Drama""]",2010,Drama,,
Ricky Rapper and the Bicycle Thief,movie,"[""Comedy"",""Family"",""Musical""]",2009,Comedy,Family,Musical
Sister Smile,movie,"[""Biography"",""Drama"",""Music""]",2009,Biography,Drama,Music
Burrowing,movie,"[""Drama""]",2009,Drama,,
Pete Smalls Is Dead,movie,"[""Comedy"",""Crime""]",2010,Comedy,Crime,
Hella W,movie,"[""Biography"",""Drama"",""History""]",2011,Biography,Drama,History
The Runway,movie,"[""Comedy""]",2010,Comedy,,
Cop Out,movie,"[""Action"",""Comedy"",""Crime""]",2010,Action,Comedy,Crime
The Dead,movie,"[""Horror""]",2010,Horror,,
"Bless Me, Ultima",movie,"[""Drama"",""War""]",2013,Drama,War,
Jesus Henry Christ,movie,"[""Comedy""]",2012,Comedy,,
Taken 2,movie,"[""Action"",""Thriller""]",2012,Action,Thriller,
Happy Feet 2,movie,"[""Animation"",""Comedy"",""Family""]",2011,Animation,Comedy,Family
Bodyguards and Assassins,movie,"[""Action"",""Drama"",""History""]",2009,Action,Drama,History
Lourdes,movie,"[""Drama""]",2009,Drama,,
Twelve,movie,"[""Action"",""Crime"",""Drama""]",2010,Action,Crime,Drama
The Flowers of War,movie,"[""Drama"",""History"",""War""]",2011,Drama,History,War
No Strings Attached,movie,"[""Comedy"",""Romance""]",2011,Comedy,Romance,
Revenge of the Electric Car,movie,"[""Documentary""]",2011,Documentary,,
Among Wolves,movie,"[""Drama""]",2010,Drama,,
The Hide,movie,"[""Thriller""]",2008,Thriller,,
All Stars 2: Old Stars,movie,"[""Comedy"",""Drama""]",2011,Comedy,Drama,
A.C.O.D.,movie,"[""Comedy""]",2013,Comedy,,
Animal Kingdom,movie,"[""Crime"",""Drama"",""Thriller""]",2010,Crime,Drama,Thriller
